34,Scaling
87,Stapler Ring Run
38,Energy Switching 1
5,Continuous Suturing
4,Horizontal Defect Suturing
40,Energy Dissection 1
203,Railroad Track
41,Energy Dissection 2
44,Suture Sponge 1
48,Dots and Needles 2
86,Stapler Tube Transect
105,Matchboard 2
106,Matchboard 3
117,Energy Dissection 1
119,Needle Targeting
132,Energy Dissection 3
25,Peg Board 1
52,Playground
163,Whoville SS 1
126,Tubes
84,Interrupted Suturing
104,Matchboard 1
107,Ring and Rail 1
108,Ring and Rail 2
109,Camera Targeting 1
196,Knot Tying
205,Vessel Energy Dissection
112,Ring Walk 1
27,Matchboard 1
35,Ring Walk 1
36,Ring Walk 2
113,Ring Walk 2
164,Whoville SS 2
165,Whoville SS 3
129,Playground
26,Peg Board 2
53,Stacking Challenge
116,Energy Switching 2
120,Thread the Rings
122,Suture Sponge 2
115,Energy Switching 1
29,Matchboard 3
30,Ring and Rail 1
33,Camera Targeting 2
110,Camera Targeting 2
62,Patient Cart Test
83,Continuous Suturing
85,Suturing Practice
124,Dots and Needles 1
125,Dots and Needles 2
31,Ring and Rail 2
42,Needle Targeting
45,Suture Sponge 2
130,Stacking Challenge
47,Dots and Needles 1
101,Pick and Place
39,Energy Switching 2
49,Tubes
43,Thread the Rings
195,Ring Transfer
206,Cloverleaf Dissection
55,Energy Dissection 3
81,Vertical Defect Suturing
111,Scaling
114,Ring Walk 3
121,Suture Sponge 1
37,Ring Walk 3
197,Railroad Track
198,Forth Arm Cutting
56,Patient Cart Overview
82,Horizontal Defect Suturing
103,Peg Board 2
28,Matchboard 2
118,Energy Dissection 2
102,Peg Board 1
9,Stapler Ring Run
8,Stapler Tube Transect
32,Camera Targeting 1
135,Three Arm Relay 1
136,Three Arm Relay 2
159,Sea Spikes 2
166,Posterior-Around the World
172,Anterior-Around the World
157,Sea Spikes 1
123,Suture Sponge 3
46,Suture Sponge 3
170,Anterior-Horizontal Defect
168,Anterior-Vertical Defect
169,Anterior-Vertical Defect
171,Anterior-Horizontal Defect
199,Vessel Energy Dissection
161,Sea Spikes Game
155,Three Arm Relay 3
61,Three Arm Relay 2
158,Sea Spikes 1
173,Anterior-Around the World
6,Interrupted Suturing
3,Vertical Defect Suturing
7,Suturing Practice
59,30-Degree Scope Swap
160,Sea Spikes 2
162,Sea Spikes Game
60,Three Arm Relay 1
156,Three Arm Relay 3
167,Posterior-Around the World
200,Cloverleaf Dissection
24,Pick and Place
201,Ring Transfer
204,Forth Arm Cutting
202,Knot Tying